"","player_name","player_id","combWoba","combXwoba","combLaunch_angle","combLaunch_speed","combBatted_ball_direction_0","combBatted_ball_direction_1","combBatted_ball_direction_2"
"187","Ryan Flaherty","475247","0.315796909492274","0.313995584988963","6.1560706401766","87.4858719646799","167","173","113"
"188","Justin Smoak","475253","0.418799831791421","0.444746846089151","15.7666105971405","90.0732548359966","474","432","283"
"189","Ryan Zimmerman","475582","0.394546310832025","0.4287284144427","8.25588697017269","91.9577708006279","364","548","362"
"190","Jed Lowrie","476704","0.353713375796178","0.363210191082803","16.3461429582449","88.2531493276716","548","469","396"
"191","Pedro Alvarez","476883","0.425137134052388","0.439100154083205","9.53127889060092","92.0058551617874","278","240","131"
"192","Ezequiel Carrera","485567","0.373928449744463","0.323267461669506","1.52436115843271","82.0538330494037","208","232","147"
"193","Alex Avila","488671","0.41829702970297","0.499790099009901","10.4673267326733","90.5312871287129","186","198","121"
"194","Brandon Barnes","488681","0.342007168458781","0.324967741935484","9.4089605734767","84.8347670250896","93","112","74"
"195","Peter Bourjos","488721","0.350158894645941","0.298737478411054","7.13350604490501","85.0623488773748","204","227","148"
"196","Michael Brantley","488726","0.362249441548771","0.359498138495905","9.20565897244974","89.1323901712584","521","500","322"
"197","Jason Castro","488771","0.370227709190672","0.391310013717421","12.8144032921811","87.820987654321","270","262","197"
"198","Chase d'Arnaud","488818","0.327342465753425","0.292383561643836","13.4821917808219","84.486301369863","100","116","76"
"199","Yunel Escobar","488862","0.346830882352941","0.345952614379085","2.56078431372549","89.1289215686274","361","573","290"
"200","Tuffy Gosewisch","488912","0.243921465968586","0.285497382198953","10.0193717277487","85.9602094240838","73","68","50"
"201","Tyler Moore","489138","0.338849462365591","0.350673835125448","16.4297491039427","88.1007168458781","112","104","63"
"202","Logan Morrison","489149","0.3605392","0.4009568","14.71472","89.04144","529","458","263"
"203","Adam Rosales","489267","0.396044392523364","0.34713785046729","14.5091121495327","87.1490654205607","182","157","89"
"204","Gorkys Hernandez","491676","0.34312","0.336128333333333","9.93966666666667","85.0438333333333","202","237","161"
"205","Jesus Sucre","491696","0.277879818594104","0.300473922902494","10.2292517006803","84.6070294784581","115","190","136"
"206","Norichika Aoki","493114","0.317745779543198","0.27350049652433","2.05660377358491","85.3956305858987","288","395","324"
"207","Dae-Ho Lee","493193","0.386197247706422","0.404738532110092","6.34495412844037","87.4068807339449","68","93","57"
"208","Yoenis Cespedes","493316","0.440142857142857","0.430765133171913","15.36400322841","91.2156577885391","475","485","279"
"209","Yuli Gurriel","493329","0.351786701208981","0.331488773747841","10.9118307426598","89.6120898100173","413","489","256"
